,iso_code,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccine_id,vaccine_names,source_id,source_name,source_website
2299,BLR,Belarus,2/20/2021,0,0,0,0,418,0.0,0.0,0.0,44,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2300,BLR,Belarus,2/21/2021,0,0,0,0,425,0.0,0.0,0.0,45,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2301,BLR,Belarus,2/22/2021,0,0,0,0,432,0.0,0.0,0.0,46,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2302,BLR,Belarus,2/23/2021,0,0,0,0,440,0.0,0.0,0.0,47,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2303,BLR,Belarus,2/24/2021,0,0,0,0,447,0.0,0.0,0.0,47,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2304,BLR,Belarus,2/25/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2305,BLR,Belarus,2/26/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2306,BLR,Belarus,2/27/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2307,BLR,Belarus,2/28/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2308,BLR,Belarus,2/3/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2309,BLR,Belarus,2/4/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2310,BLR,Belarus,2/5/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2311,BLR,Belarus,2/6/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2312,BLR,Belarus,2/7/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2313,BLR,Belarus,2/8/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2314,BLR,Belarus,2/9/2021,0,0,0,0,403,0.0,0.0,0.0,43,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2315,BLR,Belarus,3/1/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2316,BLR,Belarus,3/10/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2317,BLR,Belarus,3/11/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2318,BLR,Belarus,3/12/2021,30944,20944,10000,0,455,0.33,0.22,0.11,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
